problem,method,slug,init,seed,epoch,layer_idx,shape,a_target,coeff_a,coeff_b,coeff_c,sv_index,singular_value
low_frequency,Jordan Muon,jordan_muon,0,987,100,1,32x32,3.445,3.445,-4.775,2.032,5,0.00043612642912194133
low_frequency,Jordan Muon,jordan_muon,0,987,100,1,32x32,3.445,3.445,-4.775,2.032,6,0.00019129124120809138
low_frequency,Jordan Muon,jordan_muon,0,987,100,1,32x32,3.445,3.445,-4.775,2.032,7,0.00011232271208427846
low_frequency,Jordan Muon,jordan_muon,0,987,100,1,32x32,3.445,3.445,-4.775,2.032,8,4.560512024909258e-05
low_frequency,Jordan Muon,jordan_muon,0,987,100,1,32x32,3.445,3.445,-4.775,2.032,9,3.2283620384987444e-05
low_frequency,Jordan Muon,jordan_muon,0,987,100,1,32x32,3.445,3.445,-4.775,2.032,10,1.456982772651827e-05
low_frequency,Jordan Muon,jordan_muon,0,987,100,1,32x32,3.445,3.445,-4.775,2.032,11,1.328949201706564e-05
low_frequency,Jordan Muon,jordan_muon,0,987,100,1,32x32,3.445,3.445,-4.775,2.032,12,6.1449736676877365e-06
low_frequency,Jordan Muon,jordan_muon,0,987,100,1,32x32,3.445,3.445,-4.775,2.032,13,5.6571338973299135e-06
low_frequency,Jordan Muon,jordan_muon,0,987,100,1,32x32,3.445,3.445,-4.775,2.032,14,2.8069689506082796e-06
low_frequency,Jordan Muon,jordan_muon,0,987,100,1,32x32,3.445,3.445,-4.775,2.032,15,1.8801040368998656e-06
low_frequency,Jordan Muon,jordan_muon,0,987,100,1,32x32,3.445,3.445,-4.775,2.032,16,1.5525342860200908e-06
low_frequency,Jordan Muon,jordan_muon,0,987,100,1,32x32,3.445,3.445,-4.775,2.032,17,6.508661272164318e-07
low_frequency,Jordan Muon,jordan_muon,0,987,100,1,32x32,3.445,3.445,-4.775,2.032,18,4.4697813450511603e-07
